"Marca temporal","Sexo del viajante","Edad del viajante","Año en el que se realizó","Medio de transporte principal utilizado","Duración aproximada del viaje (en dias)","Dinero gastado (en €)","Localización del destino","Número de acompañantes","Tipo de acompañantes (en caso de haber varias respuestas correctas, seleccione la que corresponda a un número mayor de acompañantes)","¿Cómo organizó el viaje?","Satisfacción con el viaje realizado","  ¿Cuál es el factor que le impide viajar más?  (Seleccione 1 o más factores)"
"2019/11/07 3:05:15 p. m. CET","Mujer","24","2019","Tren","1","120","Península","0","Solo","Páginas web / aplicaciones","9","Falta de dinero;Falta de tiempo"
"2019/11/07 3:11:48 p. m. CET","Mujer","20","2018","Bus","3","200","Península","1","Otro","Otra persona","3","Falta de dinero;Falta de tiempo;Dificultad en la organización del viaje;Dificultad para encontrar gente con la quien viajar"
"2019/11/07 3:19:12 p. m. CET","Mujer","20","2019","Coche","10","500","Península","1","Otro","Otra persona","9","Falta de dinero"
"2019/11/07 3:28:32 p. m. CET","Mujer","20","2019","Avión","14","2700","Europa","7","Amigos","Páginas web / aplicaciones","9","Falta de dinero"
"2019/11/07 3:29:06 p. m. CET","Mujer","19","2019","Avión","7","300","Asia","4","Familiares","Páginas web / aplicaciones","10","Falta de dinero"
"2019/11/07 3:43:18 p. m. CET","Hombre","19","2019","Bus","5","150","Península","9","Amigos","Páginas web / aplicaciones","10","Ya viajo lo suficiente"
"2019/11/07 3:52:52 p. m. CET","Hombre","20","2019","Bus","1","450","Península","9","Amigos","Páginas web / aplicaciones","7","Dificultad para encontrar gente con la quien viajar"
"2019/11/07 3:55:22 p. m. CET","Mujer","19","2019","Tren","7","600","Península","2","Amigos","Páginas web / aplicaciones","9","Falta de dinero;Falta de tiempo"
"2019/11/07 4:16:21 p. m. CET","Mujer","22","2019","Avión","4","400","Europa","8","Familiares","Agencia de viajes","10","Falta de dinero"
"2019/11/07 4:22:20 p. m. CET","Hombre","22","2019","Avión","7","400","África","5","Amigos","Páginas web / aplicaciones","8","Falta de dinero"
"2019/11/07 4:35:41 p. m. CET","Mujer","23","2019","Coche","30","100","Península","3","Familiares","Otra persona","8","Ya viajo lo suficiente;Falta de dinero;Falta de tiempo"
"2019/11/07 4:35:46 p. m. CET","Mujer","23","2019","Coche","30","100","Península","3","Familiares","Otra persona","8","Ya viajo lo suficiente;Falta de dinero;Falta de tiempo"
"2019/11/07 4:42:13 p. m. CET","Hombre","21","2019","Coche","4","300","Península","2","Otro","Páginas web / aplicaciones","8","Falta de dinero"
"2019/11/07 4:49:49 p. m. CET","Hombre","18","2017","Tren","5","650","Península","3","Familiares","Otra persona","7","Dificultad para encontrar gente con la quien viajar"
"2019/11/07 4:51:11 p. m. CET","Mujer","27","2019","Avión","7","300","Europa","0","Solo","Páginas web / aplicaciones","8","Ya viajo lo suficiente"
"2019/11/07 5:14:17 p. m. CET","Mujer","19","2019","Coche","6","250","Península","5","Amigos","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo"
"2019/11/07 5:15:54 p. m. CET","Mujer","20","2019","Coche","3","90","Península","1","Amigos","Páginas web / aplicaciones","7","Dificultad para encontrar gente con la quien viajar"
"2019/11/07 5:36:45 p. m. CET","Mujer","19","2019","Avión","21","900","Europa","8","Amigos","Páginas web / aplicaciones","10","Falta de dinero"
"2019/11/07 6:13:24 p. m. CET","Mujer","19","2019","Coche","7","130","Península","1","Amigos","Páginas web / aplicaciones","8","Dificultad para encontrar gente con la quien viajar"
"2019/11/07 6:28:16 p. m. CET","Mujer","23","2019","Avión","7","500","Europa","1","Familiares","Otra persona","10","Falta de dinero;Falta de tiempo"
"2019/11/07 6:38:38 p. m. CET","Hombre","21","2019","Burro","2648","5.5421498","Península","1682","Otro","Páginas web / aplicaciones","10","Dificultad para encontrar gente con la quien viajar"
"2019/11/07 6:48:03 p. m. CET","Hombre","20","2019","Bus","4","60","Península","1","Otro","Otra persona","7","Falta de dinero"
"2019/11/07 7:20:25 p. m. CET","Mujer","21","2018","Avión","15","500","Europa","1","Otro","Páginas web / aplicaciones","10","Falta de dinero;Falta de tiempo"
"2019/11/07 7:28:41 p. m. CET","Hombre","20","2019","Tren","15","150","Península","0","Solo","Otra persona","8","Falta de dinero;Falta de tiempo"
"2019/11/07 8:19:28 p. m. CET","Hombre","22","2019","Avión","8","2.600","Europa","1","Familiares","Agencia de viajes","8","Falta de dinero;Falta de tiempo"
"2019/11/07 8:58:57 p. m. CET","Mujer","20","2019","Barco","7","2000","Europa","1","Familiares","Agencia de viajes","9","Falta de tiempo;Dificultad en la organización del viaje;Dificultad para encontrar gente con la quien viajar"
"2019/11/07 9:04:40 p. m. CET","Mujer","23","2019","Avión","6","300","Europa","1","Amigos","Páginas web / aplicaciones","10","Falta de dinero"
"2019/11/07 9:07:25 p. m. CET","Mujer","21","2019","Avión","5","300","Península","1","Familiares","Páginas web / aplicaciones","10","Falta de dinero;Falta de tiempo"
"2019/11/07 9:10:44 p. m. CET","Hombre","20","2019","Coche","5","250","Península","12","Amigos","Otra persona","9","Falta de dinero;Falta de tiempo"
"2019/11/07 9:10:54 p. m. CET","Mujer","21","2019","Tren","10","250","Península","3","Familiares","Otra persona","10","Falta de dinero;Falta de tiempo"
"2019/11/07 9:21:02 p. m. CET","Mujer","24","2019","Coche","7","1500","Península","1","Otro","Páginas web / aplicaciones","9","Falta de dinero"
"2019/11/07 9:26:28 p. m. CET","Mujer","21","2019","Coche","10","100","Península","4","Otro","Otra persona","9","Dificultad en la organización del viaje;Dificultad para encontrar gente con la quien viajar"
"2019/11/07 9:31:28 p. m. CET","Mujer","21","2019","Avión","1","600","Canarias","1","Otro","Páginas web / aplicaciones","10","Falta de dinero"
"2019/11/07 9:42:52 p. m. CET","Mujer","23","2019","Coche","7","900","Península","3","Familiares","Páginas web / aplicaciones","9","Falta de dinero"
"2019/11/07 9:42:58 p. m. CET","Hombre","21","2019","Coche","1","20","Península","1","Otro","Otra persona","10","Falta de dinero;Falta de tiempo;Dificultad en la organización del viaje"
"2019/11/07 9:44:10 p. m. CET","Hombre","22","2019","Coche","4","200","Península","3","Amigos","Otra persona","8","Falta de tiempo;Dificultad en la organización del viaje"
"2019/11/07 9:45:29 p. m. CET","Mujer","21","2019","Avión","5","180","Europa","1","Amigos","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo"
"2019/11/07 11:16:58 p. m. CET","Mujer","20","2019","Coche","1","1000","Península","3","Familiares","Páginas web / aplicaciones","9","Dificultad en la organización del viaje"
"2019/11/07 11:47:26 p. m. CET","Hombre","27","2019","Coche","2","60","Península","1","Amigos","Páginas web / aplicaciones","10","Falta de dinero;Falta de tiempo"
"2019/11/08 1:33:54 a. m. CET","Hombre","20","2019","Avión","45","170","Europa","0","Solo","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo"
"2019/11/08 2:04:55 a. m. CET","Hombre","22","2019","Coche","7","+600","Península","3","Familiares","Otra persona","8","Falta de dinero;Falta de tiempo"
"2019/11/08 2:18:04 a. m. CET","Mujer","20","2019","Coche","10","300","Península","3","Familiares","Páginas web / aplicaciones","9","Falta de dinero;Dificultad en la organización del viaje"
"2019/11/08 3:38:26 a. m. CET","Mujer","21","2019","Avión","7","300","Europa","4","Amigos","Páginas web / aplicaciones","10","Falta de dinero;Falta de tiempo"
"2019/11/08 8:02:45 a. m. CET","Mujer","19","2019","Bus","4","300","Europa","6","Amigos","Agencia de viajes","6","Falta de dinero"
"2019/11/08 8:43:43 a. m. CET","Mujer","22","2019","Avión","5","300","África","8","Amigos","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo"
"2019/11/08 9:02:47 a. m. CET","Hombre","20","2019","Tren","6","300","Península","4","Amigos","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo"
"2019/11/08 10:30:25 a. m. CET","Mujer","20","2019","Coche","2","150","Península","1","Otro","Páginas web / aplicaciones","10","Falta de dinero"
"2019/11/08 10:37:41 a. m. CET","Hombre","20","2019","Avión","6","340","Europa","2","Familiares","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo"
"2019/11/08 11:11:09 a. m. CET","Mujer","22","2019","Avión","6","300","Europa","3","Amigos","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo"
"2019/11/08 12:30:22 p. m. CET","Hombre","23","2019","Tren","6","500","Península","1","Otro","Páginas web / aplicaciones","9","Falta de dinero;Falta de tiempo"
"2019/11/08 2:29:21 p. m. CET","Hombre","22","2019","Coche","10","400","Península","9","Amigos","Páginas web / aplicaciones","10","Falta de dinero"
"2019/11/08 3:24:16 p. m. CET","Mujer","20","2019","Coche","3","150","Península","4","Amigos","Otra persona","9","Falta de dinero;Dificultad para encontrar gente con la quien viajar"
"2019/11/08 3:42:58 p. m. CET","Mujer","21","2019","Bus","4","250","Península","3","Familiares","Agencia de viajes","9","Falta de tiempo"
"2019/11/08 3:46:20 p. m. CET","Hombre","21","2019","Coche","2","50","Península","3","Amigos","Otra persona","9","Falta de dinero"
